display_name,first_name,last_name,type,gender,party,state
Todd Akin,Todd,Akin,1,M,R,MO
Richard Mourdock,Richard,Mourdock,1,M,R,IN
Rush Limbaugh,Rush,Limbaugh,2,M,,
Bill O'Reilly,Bill,O'Reilly,3,M,,
Blake Farenthold,Blake,Farenthold,1,M,R,TX
Bob Morris,Bob,Morris,1,M,R,IN
Brian Nieves,Brian,Nieves,1,M,,MO
Carmen Morales,Carmen,Morales,3,F,,
Cathy McMorris Rodgers,Cathy,McMorris Rodgers,1,F,R,
D. L. Foster,D. L.,Foster,3,M,,
D.A. King,Donald Arthur,King,3,M,,GA
Don Young,Don,Young,1,M,R,AK
E.W. Jackson,E.W.,Jackson,3,M,R,VA
Elisa Chan,Elisa,Chan,1,F,,TX
Eric Bolling,Eric,Bolling,3,M,,
Eric Erickson,Eric,Erickson,2,M,,
Erwin Lutzer,Erwin,Lutzer,3,M,,IL
Gary Miller,Gary,Miller,1,M,R,CA
Glenn Beck,Glenn,Beck,3,M,,
Glenn Spencer,Glenn,Spencer,3,M,,
Greg Gutfield,Greg,Gutfield,3,M,,
Gretchen Carlson,Gretchen,Carlson,3,F,,
Jack Hunter,Jack,Hunter,3,M,R,KY
Jack Kingston,Jack,Kingston,1,M,R,GA
Jim DeMint,Jim,DeMint,1,M,R,SC
Jim Jordan,Jim,Jordan,1,M,R,OH
Jody Laubenberg,Jody,Laubenberg,1,F,R,TX
John Kline,John,Kline,1,M,R,PA
John Stossel,John,Stossel,3,M,,
John Tanton,John,Tanton,3,M,,
Juan Williams,Juan,Williams,3,M,,
Ken Cuccinelli,Ken,Cuccinelli,1,M,R,VA
Laura Ingraham,Laura,Ingraham,3,F,,
Leah Durant,Leah,Durant,3,F,,
Linda Harvey,Linda,Harvey,3,F,R,OH
Lou Dobbs,Lou,Dobbs,3,M,,
Lynn Woolley,Lynn,Woolley,3,M,,TX
Mark Obenshain,Mark,Obenshain,1,M,R,VA
Michael Burgess,Michael,Burgess,1,M,R,TX
Michael Grimm,Michael,Grimm,1,M,R,NY
Michele Bachmann,Michele,Bachmann,1,F,R,MN
Michelle Malkin,Michelle,Malkin,3,F,,
Mike Coffman,Mike,Coffman,1,M,R,CO
Pat Buchanan,Pat,Buchanan,3,M,,
Paul Broun,Paul,Broun,1,M,R,GA
Paul Ryan,Paul,Ryan,1,M,R,WI
Paul Stam,Paul,Stam,1,M,R,NC
Peter Sprigg,Peter,Sprigg,3,M,,
Phil Gingrey,Phil,Gingrey,1,M,R,GA
Phyllis Schlafly,Phyllis,Schlafly,3,F,,
Rand Paul,Rand,Paul,1,M,R,KY
Rick Santorum,Rick,Santorum,1,M,R,PA
Sam Olens,Sam,Olens,1,M,R,GA
Sandy Rios,Sandy,Rios,3,F,,
Sean Spicer,Sean,Spicer,3,M,R,
Sharron Angle,Sharron,Angle,1,F,R,NV
Steve Elliott,Steve,Elliott,3,M,,
Steve King,Steve,King,1,M,R,IA
Steve Southerland,Steve,Southerland,1,M,R,FL
Ted Nugent,Ted,Nugent,3,M,,
Ted Yoho,Ted,Yoho,1,M,R,FL
Tom Corbett,Tom,Corbett,1,M,R,PA
Tom Tancredo,Tom,Tancredo,1,M,R,CO
Trent Franks,Trent,Franks,1,M,R,AZ
Vicki Marble,Vicki,Marble,1,F,R,CO
William Gheen,William,Gheen,3,M,,
John Koster,John,Koster,1,M,R,WA
Roger Rivard,Roger,Rivard,1,M,R,WI
Roscoe Bartlett,Roscoe,Bartlett,1,M,R,MD
