quote_id,issue_id
1,1
2,1
3,1
4,1
5,1
6,1
7,4
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,4
20,1
21,1
22,1
22,2
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,4
31,1
32,1
33,1
34,4
35,2
35,3
36,3
37,2
37,3
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
48,3
49,2
50,2
51,3
51,4
52,4
53,4
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,1
63,4
64,4
65,2
65,3
66,2
66,3
67,2
67,3
68,2
68,3
69,2
69,3
70,2
70,3
71,2
71,3
72,2
72,3
101,2
101,4
102,2
102,3
73,2
73,3
74,2
74,3
75,2
75,3
76,2
76,3
77,2
77,3
78,2
78,3
79,2
79,3
80,2
80,3
81,2
81,3
82,2
82,3
83,2
83,3
84,2
84,3
85,2
85,3
86,2
86,3
87,2
87,3
88,2
88,3
89,2
89,3
90,2
90,3
91,2
91,3
92,2
92,3
93,2
94,1
95,1
95,2
95,3
96,2
96,3
97,4
98,4
99,1
99,2
99,3
100,4
103,2
104,2
105,1
106,4
107,1
12,4
58,3
